175347046,0,0
3341656,4.6692568,6283.07585
34894,4.6261,12566.1517
3497,2.7441,5753.3849
3418,2.8289,3.5231
3136,3.6277,77713.7715
2676,4.4181,7860.4194
2343,6.1352,3930.2097
1324,0.7425,11506.7698
1273,2.0371,529.691
1199,1.1096,1577.3435
990,5.233,5884.927
902,2.045,26.298
857,3.508,398.149
780,1.179,5223.694
753,2.533,5507.553
505,4.583,18849.228
492,4.205,775.523
357,2.92,0.067
317,5.849,11790.629
284,1.899,796.298
271,0.315,10977.079
243,0.345,5486.778
206,4.806,2544.314
205,1.869,5573.143
202,2.458,6069.777
156,0.833,213.299
132,3.411,2942.463
126,1.083,20.775
115,0.645,0.98
103,0.636,4694.003
102,0.976,15720.839
102,4.267,7.114
99,6.21,2146.17
98,0.68,155.42
86,5.98,161000.69
85,1.3,6275.96
85,3.67,71430.7
80,1.81,17260.15
79,3.04,12036.46
75,1.76,5088.63
74,3.5,3154.69
74,4.68,801.82
70,0.83,9437.76
62,3.98,8827.39
61,1.82,7084.9
57,2.78,6286.6
56,4.39,14143.5
56,3.47,6279.55
52,0.19,12139.55
52,1.33,1748.02
51,0.28,5856.48
49,0.49,1194.45
41,5.37,8429.24
41,2.4,19651.05
39,6.17,10447.39
37,6.04,10213.29
37,2.57,1059.38
36,1.71,2352.87
36,1.78,6812.77
33,0.59,17789.85
30,0.44,83996.85
30,2.74,1349.87
25,3.16,4690.48 
