628331966747.0,0.0,0.0
206059.0,2.678235,6283.07585
4303.0,2.6351,12566.1517
425.0,1.59,3.523
119.0,5.796,26.298
109.0,2.966,1577.344
93.0,2.59,18849.23
72.0,1.14,529.69
68.0,1.87,398.15
67.0,4.41,5507.55
59.0,2.89,5223.69
56.0,2.17,155.42
45.0,0.4,796.3
36.0,0.47,775.52
29.0,2.65,7.11
21.0,5.34,0.98
19.0,1.85,5486.78
19.0,4.97,213.3
17.0,2.99,6275.96
16.0,0.03,2544.31
16.0,1.43,2146.17
15.0,1.21,10977.08
12.0,2.83,1748.02
12.0,3.26,5088.63
12.0,5.27,1194.45
12.0,2.08,4694.0
11.0,0.77,553.57
10.0,1.3,6286.6
10.0,4.24,1349.87
9.0,2.7,242.73
9.0,5.64,951.72
8.0,5.3,2352.87
6.0,2.65,9437.76
6.0,4.67,4690.48
